molecule_chembl_id,MW,LogP,HBD,HBA,RotB,TPSA,AromaticRings,units,IC50,smiles,pIC50,Molecule
CHEMBL4867851,582.655,4.7579,2,8,5,86.64,4,nM,0.6,C#Cc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CC6CCC(C5)N6)nc(OCC56CCCN5CCC6)nc4c3F)c12,9.22184875,<rdkit.Chem.rdchem.Mol object at 0x0000024DD807A1F0>
CHEMBL4874297,594.613,4.8637,2,8,5,86.64,4,nM,0.6,Oc1cc(-c2ncc3c(N4CC5CCC(C4)N5)nc(OC[C@@]45CCCN4C[C@H](F)C5)nc3c2F)c2c(F)c(F)ccc2c1,9.22184875,<rdkit.Chem.rdchem.Mol object at 0x0000024DD807A340>
CHEMBL4869200,682.607,3.9345,2,9,7,86.22,3,nM,0.7,Oc1cc(N2CCc3c(nc(OCC4(CN5CCOCC5)CC4)nc3N3CC4CCC(C3)N4)C2)c2c(I)cccc2c1,9.15490196,<rdkit.Chem.rdchem.Mol object at 0x0000024DD8078120>
CHEMBL4849611,640.57,4.1639,2,8,7,76.99,3,nM,0.7,CN(C)CC1(COc2nc3c(c(N4CC5CCC(C4)N5)n2)CCN(c2cc(O)cc4cccc(I)c24)C3)CC1,9.15490196,<rdkit.Chem.rdchem.Mol object at 0x0000024DD8078040>
CHEMBL4863371,604.677,5.287,2,8,6,86.64,4,nM,0.8,CCc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CC6CCC(C5)N6)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,9.096910013,<rdkit.Chem.rdchem.Mol object at 0x0000024DD807A490>
CHEMBL5408369,673.687,6.15818,2,9,5,103.33,4,nM,0.86,N#Cc1c(N)sc2c(F)ccc(-c3c(C(F)(F)F)cc4c(N5CC6CCC(C5)N6)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,9.065501549,<rdkit.Chem.rdchem.Mol object at 0x0000024DD8081F50>
CHEMBL4876274,684.598,4.6461,2,8,7,76.99,3,nM,0.9,Oc1cc(N2CCc3c(nc(OCC4(CN5CC[C@@H](F)C5)CC4)nc3N3CC4CCC(C3)N4)C2)c2c(I)cccc2c1,9.045757491,<rdkit.Chem.rdchem.Mol object at 0x0000024DD80780B0>
CHEMBL4856826,604.159,3.2792,2,8,8,124.49,3,nM,0.9,C=CC(=O)N1CCN(c2cc(C(=O)N[C@H](C)CN(C)C)nc3c2CCN(c2c(Cl)c(C)cc4[nH]ncc24)C3)C[C@@H]1CC#N,9.045757491,<rdkit.Chem.rdchem.Mol object at 0x0000024DD8077220>
CHEMBL4879271,669.104,5.7767,0,9,3,102.68,4,nM,0.91,C=CC(=O)N1C[C@H](C)N(c2nc(=O)n3c4nc(c(Cl)cc24)-c2c(F)cccc2OCC(F)(F)COc2ccnc(C(C)C)c2-3)C[C@H]1C,9.040958608,<rdkit.Chem.rdchem.Mol object at 0x0000024DD8077680>
CHEMBL5428238,640.135,5.79278,2,9,5,103.33,4,nM,0.98,N#Cc1c(N)sc2c(F)ccc(-c3c(Cl)cc4c(N5CC6CCC(C5)N6)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,9.008773924,<rdkit.Chem.rdchem.Mol object at 0x0000024DD8081D20>
CHEMBL5172805,2072.502,-3.30902,29,25,40,787.37,4,nM,1,CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccc(-c3ccccc3)cc2)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]2[C@@H](c3ccccc3)CCN2C(=O)[C@@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(C)=O)CSSC[C@@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(N)=O)NC(=O)[C@H](C(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CO)NC1=O,9,<rdkit.Chem.rdchem.Mol object at 0x0000024DD807DF50>
CHEMBL5290459,598.094,5.7818,1,8,6,83.84,3,nM,1,Oc1cc(Cl)c(C2CC2)c(-c2ncc3c(N4CCCC5(CCO5)C4)nc(OC[C@@]45CCCN4C[C@H](F)C5)nc3c2F)c1,9,<rdkit.Chem.rdchem.Mol object at 0x0000024DD807FA70>
CHEMBL5205422,1939.308,-5.05252,28,25,40,767.5,3,nM,1,C=CCO[C@H]1CCN2C(=O)[C@@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(C)=O)CSSC[C@@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(N)=O)NC(=O)[C@H](C(C)C)NC(=O)[C@@H]3CCCN3C(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc3ccc(O)cc3)NC(=O)[C@H](CO)NC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](Cc3ccc(-c4ccccc4)cc3)NC(=O)[C@H]12,9,<rdkit.Chem.rdchem.Mol object at 0x0000024DD807DE70>
CHEMBL5289987,619.688,5.6976,2,8,6,94.84,4,nM,1,CCc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CC(O)CC6(CC6)C5)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,9,<rdkit.Chem.rdchem.Mol object at 0x0000024DD807F680>
CHEMBL5276699,632.687,5.2053,2,8,6,103.71,4,nM,1,CCc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CCCC6(CC(=O)N6)C5)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,9,<rdkit.Chem.rdchem.Mol object at 0x0000024DD807F6F0>
CHEMBL5267786,648.686,5.4252,2,9,6,112.94,4,nM,1,CCc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CCCC6(CNC(=O)O6)C5)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,9,<rdkit.Chem.rdchem.Mol object at 0x0000024DD807F840>
CHEMBL5273122,615.656,5.5246,1,8,5,83.84,4,nM,1,C#Cc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CCCC6(CCO6)C5)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,9,<rdkit.Chem.rdchem.Mol object at 0x0000024DD807FA00>
CHEMBL5269272,609.624,5.6824,1,8,5,83.84,4,nM,1,Oc1cc(-c2ncc3c(N4CCCC5(CCO5)C4)nc(OC[C@@]45CCCN4C[C@H](F)C5)nc3c2F)c2c(F)c(F)ccc2c1,9,<rdkit.Chem.rdchem.Mol object at 0x0000024DD807F990>
CHEMBL5265862,626.079,6.1967,1,8,5,83.84,4,nM,1,Oc1cc(-c2ncc3c(N4CCC[C@]5(CCO5)C4)nc(OC[C@@]45CCCN4C[C@H](F)C5)nc3c2F)c2c(Cl)c(F)ccc2c1,9,<rdkit.Chem.rdchem.Mol object at 0x0000024DD807FAE0>
CHEMBL4648852,586.14,4.43578,0,8,7,88.83,3,nM,1,C=CC(=O)N1CCN(c2nc(OC[C@@H]3CCCN3C)nc3c2CCN(c2cccc4cccc(Cl)c24)C3)C[C@@H]1CC#N,9,<rdkit.Chem.rdchem.Mol object at 0x0000024DD8076730>
CHEMBL4632935,565.722,4.0908,0,8,7,88.83,3,nM,1,C=CC(=O)N1CCN(c2nc(OC[C@@H]3CCCN3C)nc3c2CCN(c2cccc4cccc(C)c24)C3)C[C@@H]1CC#N,9,<rdkit.Chem.rdchem.Mol object at 0x0000024DD80767A0>
CHEMBL5405632,654.162,6.04038,2,9,7,103.33,4,nM,1,N#Cc1c(N)sc2c(F)ccc(-c3c(Cl)cc4c(N5CC6CCC(C5)N6)nc(OCC5(CN6CC[C@@H](F)C6)CC5)nc4c3F)c12,9,<rdkit.Chem.rdchem.Mol object at 0x0000024DD8081E70>
CHEMBL4874744,605.787,4.4353,1,7,7,95.81,3,nM,1,C=CC(=O)N1CCN(c2cc(C(=O)N[C@@H]3CCC[C@H]3N(C)C)nc3c2CCN(c2cccc4cccc(C)c24)C3)C[C@@H]1CC#N,9,<rdkit.Chem.rdchem.Mol object at 0x0000024DD8076F80>
CHEMBL4875422,637.087,5.2805,0,9,3,102.68,4,nM,1.1,C=CC(=O)N1C[C@H](C)N(c2nc(=O)n3c4nc(c(Cl)cc24)-c2c(F)ccc(F)c2OCCOc2ccnc(C(C)C)c2-3)C[C@H]1C,8.958607315,<rdkit.Chem.rdchem.Mol object at 0x0000024DD80775A0>
CHEMBL4872714,635.607,4.0924,2,9,7,86.22,3,nM,1.2,Oc1cc(N2CCc3c(nc(OCC4(CN5CCOCC5)CC4)nc3N3CC4CCC(C3)N4)C2)c2c(Br)cccc2c1,8.920818754,<rdkit.Chem.rdchem.Mol object at 0x0000024DD8077ED0>
CHEMBL5430198,596.107,5.31058,2,9,5,103.33,4,nM,1.3,CN1CCC[C@H]1COc1nc(N2CC3CCC(C2)N3)c2cc(Cl)c(-c3ccc(F)c4sc(N)c(C#N)c34)c(F)c2n1,8.886056648,<rdkit.Chem.rdchem.Mol object at 0x0000024DD8081E00>
CHEMBL4863593,632.687,5.881,0,8,3,93.45,4,nM,1.4,C=CC(=O)N1C[C@H](C)N(c2nc(=O)n3c4nc(c(F)cc24)-c2c(ccc(F)c2F)OCCC(C)c2ccnc(C(C)C)c2-3)C[C@H]1C,8.853871964,<rdkit.Chem.rdchem.Mol object at 0x0000024DD8077840>
CHEMBL5415578,806.265,5.73072,2,11,6,134.86,4,nM,1.5,C=C1CN2CCC[C@@]2(COc2nc3c4c(c(Cl)c(-c5nc(N)cc(C)c5C(F)(F)F)c(F)c4n2)OC[C@@H]2CN(C(=O)/C=C/c4nccc5c4CNCC5)CCN32)C1,8.823908741,<rdkit.Chem.rdchem.Mol object at 0x0000024DD80805F0>
CHEMBL5393883,622.145,5.65368,2,9,5,103.33,4,nM,1.5,N#Cc1c(N)sc2c(F)ccc(-c3cc4nc(OC[C@@]56CCCN5C[C@H](F)C6)nc(N5CC6CCC(C5)N6)c4cc3Cl)c12,8.823908741,<rdkit.Chem.rdchem.Mol object at 0x0000024DD8081D90>
CHEMBL4875572,637.598,4.804,2,8,7,76.99,3,nM,1.5,Oc1cc(N2CCc3c(nc(OCC4(CN5CC[C@@H](F)C5)CC4)nc3N3CC4CCC(C3)N4)C2)c2c(Br)cccc2c1,8.823908741,<rdkit.Chem.rdchem.Mol object at 0x0000024DD8077E60>
CHEMBL4864188,600.67,5.1809,0,8,3,93.45,4,nM,1.7,C=CC(=O)N1C[C@H](C)N(c2nc(=O)n3c4nc(c(F)cc24)-c2c(F)cccc2OCCCc2ccnc(C(C)C)c2-3)C[C@H]1C,8.769551079,<rdkit.Chem.rdchem.Mol object at 0x0000024DD8077760>
CHEMBL4859820,654.961,6.2673,1,8,5,121.14,4,nM,1.947,C=CC(=O)N1CCN(c2c(C#N)c(=O)n(-c3c(C)ccnc3C(C)C)c3nc(-c4c(N)c(Cl)cc(Cl)c4F)c(Cl)cc23)CC1,8.710634048,<rdkit.Chem.rdchem.Mol object at 0x0000024DD8079EE0>
CHEMBL5203513,2064.479,-4.37752,29,26,42,796.6,3,nM,2,C=CCO[C@H]1CCN2C(=O)[C@@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(C)=O)CSSC[C@@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(N)=O)NC(=O)[C@H](C(C)C)NC(=O)[C@@H]3CCCN3C(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc3ccc(O)cc3)NC(=O)[C@H](CO)NC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](Cc3ccc(-c4ccccc4)cc3)NC(=O)[C@H](CC3CCC3)NC(=O)[C@H]12,8.698970004,<rdkit.Chem.rdchem.Mol object at 0x0000024DD807DEE0>
CHEMBL5081048,600.645,4.7059,2,8,5,86.64,4,nM,2,C#Cc1c(F)ccc2cc(O)cc(-c3ncc4c(N5C[C@H]6CC[C@@H](C5)N6)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,8.698970004,<rdkit.Chem.rdchem.Mol object at 0x0000024DD807B290>
CHEMBL5286121,623.651,5.6644,2,8,5,94.84,4,nM,2,Oc1cc(-c2ncc3c(N4CCCC5(CC(O)C5)C4)nc(OC[C@@]45CCCN4C[C@H](F)C5)nc3c2F)c2c(F)c(F)ccc2c1,8.698970004,<rdkit.Chem.rdchem.Mol object at 0x0000024DD807F760>
CHEMBL5286301,615.725,5.9486,2,8,6,94.84,4,nM,2,CCc1cccc2cc(O)cc(-c3ncc4c(N5CCCC6(CC(O)C6)C5)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,8.698970004,<rdkit.Chem.rdchem.Mol object at 0x0000024DD807F7D0>
CHEMBL5279240,619.688,6.1057,1,8,6,83.84,4,nM,2,CCc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CCCC6(CCO6)C5)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,8.698970004,<rdkit.Chem.rdchem.Mol object at 0x0000024DD807F8B0>
CHEMBL5279657,601.698,5.9666,1,8,6,83.84,4,nM,2,CCc1cccc2cc(O)cc(-c3ncc4c(N5CCCC6(CCO6)C5)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,8.698970004,<rdkit.Chem.rdchem.Mol object at 0x0000024DD807F920>
CHEMBL5410069,606.068,5.34152,2,8,5,92.43,3,nM,2.1,Cc1cc(N)nc(-c2c(Cl)cc3c(N4CC5CCC(C4)N5)nc(OCC45CCCN4CCC5)nc3c2F)c1C(F)(F)F,8.677780705,<rdkit.Chem.rdchem.Mol object at 0x0000024DD8081AF0>
CHEMBL5410609,624.058,5.28952,2,8,5,92.43,3,nM,2.1,Cc1cc(N)nc(-c2c(Cl)cc3c(N4CC5CCC(C4)N5)nc(OC[C@@]45CCCN4C[C@H](F)C5)nc3c2F)c1C(F)(F)F,8.677780705,<rdkit.Chem.rdchem.Mol object at 0x0000024DD8081B60>
CHEMBL5413564,792.282,6.35822,2,10,7,125.63,4,nM,2.1,C=C1CN2CCC[C@@]2(COc2nc(N3CCN(C(=O)/C=C/c4nccc5c4CNCC5)C[C@@H]3C)c3cc(Cl)c(-c4nc(N)cc(C)c4C(F)(F)F)c(F)c3n2)C1,8.677780705,<rdkit.Chem.rdchem.Mol object at 0x0000024DD8080740>
CHEMBL4850201,621.786,3.4077,2,8,8,116.04,3,nM,2.2,C=CC(=O)N1CCN(c2cc(C(=O)N[C@H](C)CN3CC(C)(O)C3)nc3c2CCN(c2cccc4cccc(C)c24)C3)C[C@@H]1CC#N,8.657577319,<rdkit.Chem.rdchem.Mol object at 0x0000024DD8076FF0>
CHEMBL4855378,617.125,5.6952,0,8,3,93.45,4,nM,2.3,C=CC(=O)N1C[C@H](C)N(c2nc(=O)n3c4nc(c(F)cc24)-c2c(Cl)cccc2OCCCc2ccnc(C(C)C)c2-3)C[C@H]1C,8.638272164,<rdkit.Chem.rdchem.Mol object at 0x0000024DD80777D0>
CHEMBL4869082,600.67,5.1825,0,8,3,93.45,4,nM,2.4,C=CC(=O)N1CCN(c2nc(=O)n3c4nc(c(F)cc24)-c2c(F)cccc2OCCCCc2ccnc(C(C)C)c2-3)[C@@H](C)C1,8.619788758,<rdkit.Chem.rdchem.Mol object at 0x0000024DD8077450>
CHEMBL4870767,668.988,6.6558,1,8,5,121.14,4,nM,2.535,C=CC(=O)N1CCN(c2c(C#N)c(=O)n(-c3c(C)ccnc3C(C)C)c3nc(-c4c(N)c(Cl)cc(Cl)c4F)c(Cl)cc23)C[C@H]1C,8.596022036,<rdkit.Chem.rdchem.Mol object at 0x0000024DD8079E70>
CHEMBL4876119,603.098,5.3051,0,8,3,93.45,4,nM,2.6,C=CC(=O)N1C[C@H](C)N(c2nc(=O)n3c4nc(c(Cl)cc24)-c2c(F)cccc2OCCc2ccnc(C(C)C)c2-3)C[C@H]1C,8.585026652,<rdkit.Chem.rdchem.Mol object at 0x0000024DD8077920>
CHEMBL4860030,615.113,5.17048,1,9,6,134.03,4,nM,2.77,C=CC(=O)N1CCN(c2c(C#N)c(=O)n(-c3c(C(C)C)ncnc3C(C)C)c3nc(-c4c(N)cccc4F)c(Cl)cc23)CC1,8.557520231,<rdkit.Chem.rdchem.Mol object at 0x0000024DD807A0A0>
CHEMBL4873282,683.015,7.0443,1,8,5,121.14,4,nM,2.832,C=CC(=O)N1[C@H](C)CN(c2c(C#N)c(=O)n(-c3c(C)ccnc3C(C)C)c3nc(-c4c(N)c(Cl)cc(Cl)c4F)c(Cl)cc23)C[C@@H]1C,8.547906751,<rdkit.Chem.rdchem.Mol object at 0x0000024DD8079E00>
CHEMBL4640636,618.157,4.77548,0,8,8,88.83,3,nM,3,CN1CCC[C@H]1COc1nc2c(c(N3CCN(C(=O)/C=C/CF)[C@@H](CC#N)C3)n1)CCN(c1cccc3cccc(Cl)c13)C2,8.522878745,<rdkit.Chem.rdchem.Mol object at 0x0000024DD8076880>
CHEMBL5416793,486.906,4.3082,1,6,2,78.79,3,nM,3,C=CC(=O)N1C[C@H]2CCOc3c(Cl)c(-c4c(O)cccc4F)c(F)c4ncnc(c34)N2C[C@H]1C,8.522878745,<rdkit.Chem.rdchem.Mol object at 0x0000024DD8080C10>
CHEMBL5183988,486.906,4.3082,1,6,2,78.79,3,nM,3,C=CC(=O)N1C[C@@H]2CCOc3c(Cl)c(-c4c(O)cccc4F)c(F)c4ncnc(c34)N2C[C@H]1C,8.522878745,<rdkit.Chem.rdchem.Mol object at 0x0000024DD807EC70>
CHEMBL4857517,570.738,3.63832,2,9,7,86.22,3,nM,3.2,Cc1cccc2cc(O)cc(N3CCc4c(nc(OCC5(CN6CCOCC6)CC5)nc4N4CC5CCC(C4)N5)C3)c12,8.494850022,<rdkit.Chem.rdchem.Mol object at 0x0000024DD8077F40>
CHEMBL5418527,580.03,4.80732,2,8,5,92.43,3,nM,3.5,Cc1cc(N)nc(-c2c(Cl)cc3c(N4CC5CCC(C4)N5)nc(OC[C@@H]4CCCN4C)nc3c2F)c1C(F)(F)F,8.455931956,<rdkit.Chem.rdchem.Mol object at 0x0000024DD8081A80>
CHEMBL4870399,614.697,5.571,0,8,3,93.45,4,nM,3.5,C=CC(=O)N1C[C@H](C)N(c2nc(=O)n3c4nc(c(F)cc24)-c2c(F)cccc2OCCCCc2ccnc(C(C)C)c2-3)C[C@H]1C,8.455931956,<rdkit.Chem.rdchem.Mol object at 0x0000024DD80774C0>
CHEMBL5397425,616.113,5.3161,2,9,5,92.43,4,nM,3.8,Nc1nc2c(-c3c(Cl)cc4c(N5CC6CCC(C5)N6)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)ccc(F)c2s1,8.420216403,<rdkit.Chem.rdchem.Mol object at 0x0000024DD8081CB0>
CHEMBL5267907,570.097,5.70924,1,7,7,93.86,5,nM,4,C=CC(=O)N1CC2(CC(n3nc(-c4ccc5nn(CCOC)cc5c4)c(-c4c(Cl)c(C)cc5[nH]ncc45)c3C)C2)C1,8.397940009,<rdkit.Chem.rdchem.Mol object at 0x0000024DD807F530>
CHEMBL4636611,619.692,4.80118,0,8,7,88.83,3,nM,4,C=CC(=O)N1CCN(c2nc(OC[C@@H]3CCCN3C)nc3c2CCN(c2cccc4cccc(C(F)(F)F)c24)C3)C[C@@H]1CC#N,8.397940009,<rdkit.Chem.rdchem.Mol object at 0x0000024DD80766C0>
CHEMBL4866126,586.643,4.7924,0,8,3,93.45,4,nM,4.3,C=CC(=O)N1CCN(c2nc(=O)n3c4nc(c(F)cc24)-c2c(F)cccc2OCCCc2ccnc(C(C)C)c2-3)[C@@H](C)C1,8.366531544,<rdkit.Chem.rdchem.Mol object at 0x0000024DD8077530>
CHEMBL4876344,571.056,5.3783,0,7,5,95.12,4,nM,4.4,C=CC(=O)N1CCN(c2c(C#N)c(=O)n(-c3c(C)ccnc3C(C)C)c3nc(-c4ccccc4F)c(Cl)cc23)CC1,8.356547324,<rdkit.Chem.rdchem.Mol object at 0x0000024DD807A030>
CHEMBL4867496,1931.196,-3.38676,26,22,32,721.83,7,nM,4.4,C[C@@H]1NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@@H]2CCCCNC(=O)c3cc(cc(c3)C(=O)N[C@H](Cc3ccc4ccccc4c3)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@H](Cc3ccc4ccccc4c3)C(=O)N[C@@H](c3ccccc3)C(=O)N2)C(=O)NC[C@@H](C(=O)NCCC(=O)NCCC(=O)NC(CCCCN)C(N)=O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](CCCNC(=N)N)NC1=O,8.356547324,<rdkit.Chem.rdchem.Mol object at 0x0000024DD80783C0>
CHEMBL4860377,591.76,4.0947,2,7,7,104.6,3,nM,4.5,C=CC(=O)N1CCN(c2cc(C(=O)NC3(CC)CCNC3)nc3c2CCN(c2cccc4cccc(C)c24)C3)C[C@@H]1CC#N,8.346787486,<rdkit.Chem.rdchem.Mol object at 0x0000024DD8077370>
CHEMBL4857822,684.003,6.47728,1,9,6,134.03,4,nM,4.737,C=CC(=O)N1CCN(c2c(C#N)c(=O)n(-c3c(C(C)C)ncnc3C(C)C)c3nc(-c4c(N)c(Cl)cc(Cl)c4F)c(Cl)cc23)CC1,8.324496615,<rdkit.Chem.rdchem.Mol object at 0x0000024DD8079FC0>
CHEMBL4866701,591.76,4.0468,1,7,7,95.81,3,nM,4.8,C=CC(=O)N1CCN(c2cc(C(=O)NCC3CCCN3C)nc3c2CCN(c2cccc4cccc(C)c24)C3)C[C@@H]1CC#N,8.318758763,<rdkit.Chem.rdchem.Mol object at 0x0000024DD80771B0>
CHEMBL4860108,653.803,4.095,2,8,8,116.04,3,nM,5,C=C(F)C(=O)N1CCN(c2cc(C(=O)NC(C)CN3CCC(C)(O)C3)nc3c2CCN(c2cccc4cccc(C)c24)C3)C[C@@H]1CC#N,8.301029996,<rdkit.Chem.rdchem.Mol object at 0x0000024DD80770D0>
CHEMBL5200027,2024.458,-3.77842,29,25,42,787.37,3,nM,5,CCCCC[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CO)NC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](Cc2ccc(-c3ccccc3)cc2)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(C)=O)CSSC[C@@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(N)=O)NC1=O,8.301029996,<rdkit.Chem.rdchem.Mol object at 0x0000024DD807E110>
CHEMBL4852554,545.634,5.095,2,7,7,73.75,4,nM,5.1,CN(C)CC1(COc2nc(N3CC4CCC(C3)N4)c3cc(F)c(-c4cc(O)cc5ccccc45)c(F)c3n2)CC1,8.292429824,<rdkit.Chem.rdchem.Mol object at 0x0000024DD8078190>
CHEMBL4867102,693.998,6.54958,1,9,6,144.93,4,nM,5.188,C=CC(=O)N1CCN(c2c(C#N)c(=O)n(-c3c(C)ccnc3C(C)C)c3nc(-c4c(N)c(Cl)cc(Cl)c4F)c(Cl)cc23)CC1CC#N,8.285000033,<rdkit.Chem.rdchem.Mol object at 0x0000024DD8079F50>
CHEMBL66699,432.955,3.7049,0,4,3,49.33,3,nM,5.2,O=C(Cc1ccncc1)N1CCN([C@H]2c3ccc(Cl)cc3CCc3cccnc32)CC1,8.283996656,<rdkit.Chem.rdchem.Mol object at 0x0000024DD8080B30>
CHEMBL5431156,482.947,4.83758,2,7,2,90.86,4,nM,5.32,N#Cc1c(N)sc2c(F)ccc(-c3c(Cl)cc4c(N5CC6CCC(C5)N6)ncnc4c3F)c12,8.274088368,<rdkit.Chem.rdchem.Mol object at 0x0000024DD8081EE0>
